TikTok;NutzerIn;Beschreibung;Link
1;cogitoo___;Everyone's dream Plato wasn't happy to be there.#dostoevsky #kafka #camus #nietzsche #plato ;https://www.tiktok.com/@cogito___/photo/7529108160599182614
2;lanalvnfxmz;#forupage #fyp #foru #kafka #camus #dostoevsky #whitenights #doriangrey #oscarwilde #thestranger #methamorphosis #viralvideos #goviral #kafkaesque #prague #gregorsamsa ;https://www.tiktok.com/@lanalvnfxmz/photo/7512561520866233622
3;kultur2go;Es ist so! #Kafka #meme #verwandlung #schloss #witz #jugendliche ;https://www.tiktok.com/@kultur2go/video/7374853554080877856
4;maxenglisch;never gonna stop with the lektüren memes #schule #abi #deutsch #kafka ;https://www.tiktok.com/@maxenglisch/video/6961018857746140421
5;eachandeverynight;Metamorphosis #franzkafka #metamorphosis #kafka #foryoupage #fyp #literature #classicliterature #BookTok ;https://www.tiktok.com/@eachandeverynight/photo/7502484047533264134
6;clarall;franz kafka#fyp #writing #franzkafka ;https://www.tiktok.com/@clarall/photo/7523687059328978182
7;stephanie_dlb;finally got it! #literature #BookTok #book #darkacademia #bookmeme #literaturememes #kafka #franzkafka #themetamorphosis #gregorsamsa #franzkafkametamorphosis ;https://www.tiktok.com/@stephanie_dlb/photo/7508952230674844984
8;humanlif8;???De majestueux cafards???Kafka is marvelous, but thinking about him makes me cry in the ugliest way possible #kafka #kafkameme #literaturememes #philosophymemes ;https://www.tiktok.com/@humanlif8/photo/7300241886680272161
9;tlllpa;Tshirt:  klamottenhalt.com #kafka ;https://www.tiktok.com/@tlllpa/video/7372234496403442977
10;kulturmarxismus;did you read it in school too? #booktok #book #franzkafka #kafka #metamorphosis #themetamorphosis #dieverwandlung #verwandlung #school #reading #literature #literaturememes #classicalliterature #klassischeliteratur #literatur #lesen #cillianmurphy #oppenheimer #outsiders #fyp #fyp? #foryou #viral ;https://www.tiktok.com/@kulturmarxismus/photo/7322412758744468768
11;kafka.in.my.mind;Idk if I should laugh or not #fyp #foryou #foryoupage #franzkafka #kafka #books #read #write ;https://www.tiktok.com/@kafka.in.my.mind/photo/7515909546678766870
12;kulturmarxismus;„Du hast mich innerlich zermalmt“ #franzkafka #kafka #briefandenvater #booktokdeutschland #büchertok #literatur #klassiker #klassischeliteratur #meme #buch #fyp #viral ;https://www.tiktok.com/@kulturmarxismus/video/7401445695808408864
13;lemashonreadsclassics;#capcut_edit #bookmemes #franzkafka #lettertomyfather #classicliterature #darkacademia #fyodordostoevsky #albertcamus #janeaustentiktok #oscarwilde #friedrichnietzsche #thesecrethistory #janeeyre #thestranger #thebrotherskaramasov #crimeandpunishment #booktokfypage ;https://www.tiktok.com/@lemashonreadsclassics/video/7410696472741612805
14;_gaahlantini;How it usually goes  #literature #BookTok #book #darkacademia #bookmeme #literaturememes #kafka #franzkafka #themetamorphosis #kafkaedit #franzkafkaquotes #franzkafkametamorphosis #dostoevsky #dostoevskyfyodor #crimeandpunishment #russianliterature #russianliteraturememes #raskolnikov #notesfromunderground #literallyme #camus #albertcamus #thestranger #absuridsm #albertcamusphilosophy #albertcamusquotes #albertcamusedit #fyp #foryoupage ;https://www.tiktok.com/@_gaahlantini/photo/7464984352674401558
